name,size,insert,lookup,delete,checksum
google::dense_hash_map,473619,53.814982,21.381670,28.372173,537623293653725
ulib::align_hash_map,473619,56.201257,35.160780,18.802417,537623293653725
tommyds hashdyn,473619,169.485356,35.102260,83.641452,537623293653725
khash,473619,62.241646,26.466820,19.309213,537623293653725
libdynamic,473619,48.960861,15.128610,28.245195,537623293653725
std::map_unordered,430562,198.860396,75.631330,151.184473,535834614852795
google::dense_hash_map,430562,54.847813,20.517820,27.382523,535834614852795
ulib::align_hash_map,430562,58.650770,34.273530,18.316263,535834614852795
tommyds hashdyn,430562,175.055657,34.040450,83.236619,535834614852795
khash,430562,64.836251,25.545330,18.809054,535834614852795
libdynamic,430562,50.594040,14.274660,25.881829,535834614852795
std::map_unordered,391419,199.050567,73.743280,147.588571,536741892227180
google::dense_hash_map,391419,56.008819,19.895490,26.657291,536741892227180
ulib::align_hash_map,391419,60.842159,33.364430,17.822921,536741892227180
tommyds hashdyn,391419,182.957010,33.641250,82.689915,536741892227180
khash,391419,67.828498,24.847260,18.369650,536741892227180
libdynamic,391419,52.249357,13.503300,24.192602,536741892227180
std::map_unordered,355835,200.609257,72.054320,143.942723,536872118995295
google::dense_hash_map,355835,57.826675,19.380940,25.927584,536872118995295
ulib::align_hash_map,355835,63.984850,32.805860,17.482732,536872118995295
tommyds hashdyn,355835,190.979870,32.678190,82.538696,536872118995295
khash,355835,71.065100,24.317800,18.073720,536872118995295
libdynamic,355835,54.469639,12.945940,22.755367,536872118995295
std::map_unordered,323486,202.444112,70.577430,140.230876,537552397908605
google::dense_hash_map,323486,59.721104,18.859190,25.434365,537552397908605
ulib::align_hash_map,323486,66.451874,32.350500,17.321275,537552397908605
tommyds hashdyn,323486,201.821998,32.129790,82.888586,537552397908605
khash,323486,74.628398,23.984420,17.780936,537552397908605
libdynamic,323486,57.000241,12.447190,21.529921,537552397908605
std::map_unordered,294078,204.670472,69.298670,137.612331,537984897050170
google::dense_hash_map,294078,62.166881,18.600680,24.962884,537984897050170
ulib::align_hash_map,294078,69.768058,31.598820,17.065081,537984897050170
tommyds hashdyn,294078,210.866529,31.316680,82.720200,537984897050170
khash,294078,78.421109,23.610620,17.638201,537984897050170
libdynamic,294078,59.992043,12.090910,20.359520,537984897050170
std::map_unordered,267343,208.265015,67.976820,133.582607,537585927128445
google::dense_hash_map,267343,64.519374,18.396910,24.592696,537585927128445
ulib::align_hash_map,267343,73.020651,31.660640,16.871760,537585927128445
tommyds hashdyn,267343,221.453586,30.697800,82.718220,537585927128445
khash,267343,82.743203,23.353760,17.402509,537585927128445
